product_name,product_price,product_ram,product_display,product_camera,product_warranty,bettary,processor
"vivo T1 44W (Starry Sky, 128 GB)","15,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.36 cm (6.44 inch) Full HD+ AMOLED Display,50MP + 2MP + 2MP | 16MP Front Camera,1 Year Handset and 6 Months Accessories,5000 mAh Lithium Battery,Qualcomm Snapdragon 680 Processor
LAVA A3,"1,319",0 GB ROM | Expandable Upto 32 GB,4.5 cm (1.77 inch) Display,0.3MP Rear Camera | 0.3MP Front Camera,,1750 mAh Battery,1 year manufacturer Replacement for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
"vivo T1 44W (Midnight Galaxy, 128 GB)","14,499",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.36 cm (6.44 inch) Full HD+ AMOLED Display,50MP + 2MP + 2MP | 16MP Front Camera,1 Year Handset and 6 Months Accessories,5000 mAh Lithium Battery,Qualcomm Snapdragon 680 Processor
"vivo T1 44W (Starry Sky, 128 GB)","14,499",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.36 cm (6.44 inch) Full HD+ AMOLED Display,50MP + 2MP + 2MP | 16MP Front Camera,1 Year Handset and 6 Months Accessories,5000 mAh Lithium Battery,Qualcomm Snapdragon 680 Processor
"MOTOROLA g13 (Matte Charcoal, 128 GB)","9,999",4 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,1 Year on Handset and 6 Months on Accessories,5000 mAh Battery,Helio G85 Processor
"REDMI 10 (Sunrise Orange, 64 GB)","9,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 5MP Front Camera,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,6000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 680 Processor
"POCO M5 (Power Black, 128 GB)","11,999",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP Depth Sensor + 2MP Macro Sensor | 8MP Front Camera,"1 Year for Handset, 6 Months for Accessories",5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G99 Processor
"POCO X5 Pro 5G (Yellow, 256 GB)","24,999",8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,108MP + 8MP + 2MP | 16MP Front Camera,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,5000 mAh Battery,Qualcomm Snapdragon 778G Processor
"OPPO A17k (Blue, 64 GB)","9,268",3 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.66 cm (6.56 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,1 Year on Handset and 6 Months on Accessories,5000 mAh Battery,Mediatek Helio P35 Processor
LAVA GEM,"1,659",0 MB ROM | Expandable Upto 32 GB,7.11 cm (2.8 inch) QVGA Display,1.3MP Rear Camera,1 year manufacturer Replacement for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,1750 mAh Battery,NA Processor
